xValues,tValues,Solution
0,0,0
0.0204082,0,0.0640702
0.0408163,0,0.127877
0.0612245,0,0.191159
0.0816327,0,0.253655
0.102041,0,0.315108
0.122449,0,0.375267
0.142857,0,0.433884
0.163265,0,0.490718
0.183673,0,0.545535
0.204082,0,0.598111
0.22449,0,0.648228
0.244898,0,0.695683
0.265306,0,0.740278
0.285714,0,0.781831
0.306122,0,0.820172
0.326531,0,0.855143
0.346939,0,0.886599
0.367347,0,0.914413
0.387755,0,0.938468
0.408163,0,0.958668
0.428571,0,0.974928
0.44898,0,0.987182
0.469388,0,0.995379
0.489796,0,0.999486
0.510204,0,0.999486
0.530612,0,0.995379
0.55102,0,0.987182
0.571429,0,0.974928
0.591837,0,0.958668
0.612245,0,0.938468
0.632653,0,0.914413
0.653061,0,0.886599
0.673469,0,0.855143
0.693878,0,0.820172
0.714286,0,0.781831
0.734694,0,0.740278
0.755102,0,0.695683
0.77551,0,0.648228
0.795918,0,0.598111
0.816327,0,0.545535
0.836735,0,0.490718
0.857143,0,0.433884
0.877551,0,0.375267
0.897959,0,0.315108
0.918367,0,0.253655
0.938776,0,0.191159
0.959184,0,0.127877
0.979592,0,0.0640702
1,0,0
0,0.00122449,0.02376
0.0204082,0.00122449,0.0738681
0.0408163,0.00122449,0.131405
0.0612245,0.00122449,0.191579
0.0816327,0.00122449,0.252364
0.102041,0.00122449,0.312736
0.122449,0.00122449,0.372104
0.142857,0.00122449,0.430067
0.163265,0.00122449,0.48632
0.183673,0.00122449,0.540599
0.204082,0.00122449,0.592668
0.22449,0.00122449,0.642307
0.244898,0.00122449,0.689309
0.265306,0.00122449,0.733479
0.285714,0.00122449,0.774636
0.306122,0.00122449,0.81261
0.326531,0.00122449,0.847244
0.346939,0.00122449,0.878397
0.367347,0.00122449,0.905941
0.387755,0.00122449,0.929762
0.408163,0.00122449,0.949762
0.428571,0.00122449,0.96586
0.44898,0.00122449,0.977988
0.469388,0.00122449,0.986098
0.489796,0.00122449,0.990156
0.510204,0.00122449,0.990145
0.530612,0.00122449,0.986065
0.55102,0.00122449,0.977934
0.571429,0.00122449,0.965783
0.591837,0.00122449,0.949665
0.612245,0.00122449,0.929643
0.632653,0.00122449,0.905802
0.653061,0.00122449,0.878239
0.673469,0.00122449,0.847066
0.693878,0.00122449,0.812413
0.714286,0.00122449,0.774422
0.734694,0.00122449,0.733248
0.755102,0.00122449,0.689061
0.77551,0.00122449,0.642043
0.795918,0.00122449,0.592387
0.816327,0.00122449,0.540296
0.836735,0.00122449,0.485985
0.857143,0.00122449,0.429677
0.877551,0.00122449,0.371603
0.897959,0.00122449,0.312002
0.918367,0.00122449,0.25112
0.938776,0.00122449,0.189205
0.959184,0.00122449,0.126513
0.979592,0.00122449,0.0633008
1,0.00122449,0
0,0.00244898,0.0186032
0.0204082,0.00244898,0.0733364
0.0408163,0.00244898,0.133168
0.0612245,0.00244898,0.192464
0.0816327,0.00244898,0.251851
0.102041,0.00244898,0.310978
0.122449,0.00244898,0.369346
0.142857,0.00244898,0.426504
0.163265,0.00244898,0.482083
0.183673,0.00244898,0.535772
0.204082,0.00244898,0.587309
0.22449,0.00244898,0.636457
0.244898,0.00244898,0.683002
0.265306,0.00244898,0.726747
